Frame	X1	Y1	Flag1	X2	Y2	Flag2	X3	Y3	Flag3	X4	Y4	Flag4	X5	Y5	Flag5	X6	Y6	Flag6	X7	Y7	Flag7
Tracks 1 to 7
58	64.00006	64.33748	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
59	63.997086	64.43291	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
60	63.9818	64.40442	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
61	63.96829	64.36123	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
62	63.971138	64.39445	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
63	63.97951	64.41557	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
64	63.981216	64.42809	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
65	63.9887	64.43413	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
66	63.97553	64.4216	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
67	63.96327	64.36926	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
68	63.960014	64.4331	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
69	63.94516	64.41108	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
70	63.94845	64.364815	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
71	63.961395	64.3831	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
72	63.970222	64.732635	 	 	 	 	64.04491	35.64371	 	 	 	 	 	 	 	 	 	 	 	 	 
73	63.965923	64.716156	 	 	 	 	63.296177	35.621017	 	 	 	 	 	 	 	 	 	 	 	 	 
74	63.95888	64.68491	 	 	 	 	63.6227	36.23006	 	 	 	 	 	 	 	 	 	 	 	 	 
75	63.94753	64.44651	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
76	63.965122	64.70853	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
77	63.95448	64.386566	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
78	63.957977	64.4011	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
79	63.96833	64.65794	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
80	63.965332	64.42422	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
