Frame	X1	Y1	Flag1	X2	Y2	Flag2	X3	Y3	Flag3	X4	Y4	Flag4
Tracks 1 to 4
1	64.09621	63.296783	 	59.81902	87.2546	 	 	 	 	 	 	 
2	64.10275	63.28607	 	59.71019	87.78026	 	 	 	 	 	 	 
3	64.09153	63.263325	 	59.991016	88.338326	 	 	 	 	 	 	 
4	64.095436	63.270287	 	59.89881	88.57738	 	 	 	 	 	 	 
5	64.11208	63.244072	 	59.298702	88.80519	 	 	 	 	 	 	 
6	64.10645	63.256287	 	59.226665	88.40667	 	 	 	 	 	 	 
7	64.10312	63.264263	 	59.66	87.62666	 	 	 	 	 	 	 
8	64.08736	63.26214	 	59.770832	87.88194	 	 	 	 	 	 	 
9	64.068214	63.28907	 	60.286667	88.42667	 	 	 	 	 	 	 
10	64.04919	63.269596	 	60.980263	88.802635	 	 	 	 	 	 	 
11	64.054115	63.276897	 	60.92675	89.251595	 	 	 	 	 	 	 
12	64.056915	63.278866	 	60.8375	89.175	 	 	 	 	 	 	 
13	64.04451	63.280476	 	61.245342	88.940994	 	 	 	 	 	 	 
14	64.05621	63.264038	 	60.94805	89.11039	 	 	 	 	 	 	 
15	64.084236	63.239315	 	60.173203	89.23856	 	 	 	 	 	 	 
16	64.101845	63.2862	 	59.487263	89.02866	 	 	 	 	 	 	 
17	64.12023	63.281384	 	58.566265	88.90362	 	 	 	 	 	 	 
18	64.147446	63.273254	 	57.826797	88.89869	 	 	 	 	 	 	 
19	64.140816	63.266827	 	58.091835	88.91496	 	 	 	 	 	 	 
20	64.11969	63.33027	 	58.67073	88.02439	 	 	 	 	 	 	 
21	64.11987	63.32216	 	58.92177	87.037415	 	 	 	 	 	 	 
22	64.09161	63.320732	 	59.706665	86.793335	 	 	 	 	 	 	 
23	64.09701	63.310383	 	59.794872	87.14744	 	 	 	 	 	 	 
24	64.107	63.315914	 	59.267857	87.03571	 	 	 	 	 	 	 
25	64.10783	63.340755	 	59.18323	86.38199	 	 	 	 	 	 	 
26	64.12617	63.336967	 	58.86842	86.09869	 	 	 	 	 	 	 
27	64.129196	63.352016	 	58.4625	85.89375	 	 	 	 	 	 	 
28	64.12292	63.368446	 	58.66981	85.776726	 	 	 	 	 	 	 
29	64.10629	63.352116	 	59.206665	85.933334	 	 	 	 	 	 	 
30	64.09309	63.310688	 	60.054142	86.824844	 	 	 	 	 	 	 
31	64.07172	63.321384	 	60.391026	87.00641	 	 	 	 	 	 	 
32	64.07587	63.31579	 	60.480644	87.53871	 	 	 	 	 	 	 
33	64.092804	63.29813	 	60.02174	87.959625	 	 	 	 	 	 	 
34	64.11281	63.264885	 	59.512985	88.2987	 	 	 	 	 	 	 
35	64.11653	63.272972	 	58.845455	88.29394	 	 	 	 	 	 	 
36	64.11958	63.26285	 	58.875	88.525	 	 	 	 	 	 	 
37	64.1065	63.257214	 	59.425	88.8	 	 	 	 	 	 	 
38	64.09908	63.224922	 	59.876625	89.43507	 	 	 	 	 	 	 
39	64.1108	63.202805	 	59.557693	89.88461	 	 	 	 	 	 	 
40	64.1272	63.21663	 	58.896225	89.984276	 	 	 	 	 	 	 
41	64.1574	63.18715	 	57.93662	90.46479	 	 	 	 	 	 	 
42	64.17607	63.22402	 	57.166668	90.37582	 	 	 	 	 	 	 
43	64.16246	63.26127	 	57.174557	89.85503	 	 	 	 	 	 	 
44	64.153275	63.25562	 	57.5	89.815155	 	 	 	 	 	 	 
45	64.167694	63.25369	 	57.179485	89.60897	 	 	 	 	 	 	 
46	64.17558	63.257412	 	56.95963	89.6118	 	 	 	 	 	 	 
47	64.17144	63.27242	 	56.844154	89.318184	 	 	 	 	 	 	 
48	64.17979	63.278156	 	56.638554	89.1265	 	 	 	 	 	 	 
49	64.192604	63.265343	 	56.42683	89.28049	 	 	 	 	 	 	 
50	64.20848	63.268406	 	55.791138	89.0	 	 	 	 	 	 	 
51	64.21645	63.25515	 	55.55844	89.37013	 	 	 	 	 	 	 
52	64.23109	63.225246	 	55.168873	90.11589	 	 	 	 	 	 	 
53	64.24415	63.24785	 	54.597404	90.21429	 	 	 	 	 	 	 
54	64.2734	63.222446	 	54.057972	89.514496	 	 	 	 	 	 	 
55	64.29291	63.241543	 	53.36111	89.27778	 	 	 	 	 	 	 
56	64.27468	63.24188	 	53.419464	89.64765	 	 	 	 	 	 	 
57	64.25699	63.246437	 	54.08228	89.77848	 	 	 	 	 	 	 
58	64.25625	63.25581	 	54.296177	89.544586	 	 	 	 	 	 	 
59	64.24733	63.27742	 	54.58125	88.9	 	 	 	 	 	 	 
60	64.26545	63.28494	 	54.233334	88.14	 	 	 	 	 	 	 
61	64.27999	63.31811	 	53.33648	87.66352	 	 	 	 	 	 	 
62	64.29819	63.33305	 	52.810127	87.25949	 	 	 	 	 	 	 
63	64.29046	63.373634	 	52.775	86.225	 	 	 	 	 	 	 
64	64.2891	63.393387	 	53.02795	85.23292	 	 	 	 	 	 	 
65	64.27173	63.430893	 	53.225716	84.80857	 	 	 	 	 	 	 
66	64.25931	63.45136	 	53.429825	84.32456	 	 	 	 	 	 	 
67	64.27526	63.42607	 	53.429825	84.0731	 	 	 	 	 	 	 
68	64.3015	63.424683	 	52.782894	83.82895	 	 	 	 	 	 	 
69	64.296646	63.458374	 	52.47452	82.97771	 	 	 	 	 	 	 
70	64.28721	63.45719	 	52.9908	82.935585	 	 	 	 	 	 	 
