Frame	X1	Y1	Flag1	X2	Y2	Flag2	X3	Y3	Flag3	X4	Y4	Flag4
Tracks 1 to 4
84	64.047195	63.696655	*	 	 	 	67.052086	72.322914	 	 	 	 
85	64.03736	63.740154	*	 	 	 	67.229164	72.364586	*	 	 	 
86	67.16051	60.809326	 	 	 	 	67.139175	72.03608	*	 	 	 
87	67.08205	61.393585	 	 	 	 	67.47701	71.764366	 	 	 	 
88	67.62888	60.69319	 	 	 	 	68.239586	71.104164	*	 	 	 
89	66.95369	61.363483	*	 	 	 	69.0814	71.0	 	 	 	 
90	67.13383	61.10679	 	 	 	 	69.4	70.27	*	 	 	 
91	66.711334	61.053307	*	 	 	 	69.86144	70.60844	*	 	 	 
92	64.06202	63.687527	*	 	 	 	 	 	 	 	 	 
93	64.07423	63.672405	 	 	 	 	 	 	 	 	 	 
94	66.79865	61.311783	 	 	 	 	 	 	 	70.27907	76.11628	 
95	66.76734	60.91452	 	 	 	 	 	 	 	70.931816	76.931816	 
96	66.978546	60.18421	 	 	 	 	 	 	 	71.2579	77.63684	 
97	67.27534	60.54087	 	 	 	 	 	 	 	71.758064	77.951614	 
98	67.10667	60.65723	 	 	 	 	 	 	 	71.18965	78.235634	 
99	67.00735	60.86288	 	 	 	 	 	 	 	69.75	79.059525	 
100	67.25516	60.236645	 	 	 	 	 	 	 	68.953606	78.9433	 
101	67.218445	60.563854	 	 	 	 	 	 	 	68.639786	78.81183	 
102	67.07094	60.95475	 	 	 	 	 	 	 	67.981926	79.37952	 
103	67.35718	60.413605	 	 	 	 	 	 	 	66.90426	80.010635	 
104	67.32848	60.57318	 	 	 	 	 	 	 	67.11224	80.54082	 
105	67.08376	60.643066	 	 	 	 	 	 	 	67.32222	80.888885	 
106	67.282265	60.228462	 	 	 	 	 	 	 	66.76316	81.710526	 
107	66.84055	60.778996	 	 	 	 	 	 	 	67.598595	82.41549	 
108	67.33256	60.51536	 	 	 	 	 	 	 	68.0567	82.87113	 
109	66.93626	60.55583	 	 	 	 	 	 	 	68.131065	82.29612	 
110	67.40298	60.64136	 	 	 	 	 	 	 	67.85107	81.96809	 
111	67.35249	60.940826	 	 	 	 	 	 	 	67.89	81.86	 
112	67.652054	60.40705	 	 	 	 	 	 	 	68.322914	81.65625	 
113	67.241905	60.641453	 	 	 	 	 	 	 	68.14	81.61	 
114	67.27632	60.62856	 	 	 	 	 	 	 	68.66327	80.86735	 
115	66.76531	60.745094	 	 	 	 	 	 	 	68.48039	81.22549	 
116	67.648506	60.46117	 	 	 	 	 	 	 	69.360466	81.209305	 
117	67.77188	60.518715	 	 	 	 	 	 	 	69.97312	80.93011	 
118	67.52793	60.548016	 	 	 	 	 	 	 	69.82258	81.33871	 
119	64.177895	63.37462	 	 	 	 	 	 	 	68.9433	80.87113	 
120	64.162155	63.43609	 	 	 	 	 	 	 	68.72772	81.153465	 
121	66.65642	60.67469	 	 	 	 	 	 	 	69.60227	81.65909	 
122	64.12694	63.297054	 	 	 	 	 	 	 	69.91584	82.4406	 
123	63.976463	63.452423	 	 	 	 	 	 	 	69.78319	82.5354	 
124	63.98935	63.463696	 	 	 	 	 	 	 	69.96316	81.857895	 
125	66.85517	60.911568	 	 	 	 	 	 	 	70.790695	81.72093	 
126	64.03106	63.419888	 	 	 	 	 	 	 	70.145836	81.927086	 
127	66.79315	61.184814	 	 	 	 	 	 	 	69.73656	82.02688	 
128	67.15856	61.009575	 	 	 	 	 	 	 	70.01685	82.095505	 
129	64.1498	63.32589	 	 	 	 	 	 	 	70.78	81.92	 
130	63.89228	63.53552	 	 	 	 	 	 	 	71.27228	81.25247	 
131	63.892384	63.56214	 	 	 	 	 	 	 	71.76214	80.694176	 
132	63.84635	63.62247	 	 	 	 	 	 	 	72.32883	80.64414	 
133	63.84111	63.627487	 	 	 	 	 	 	 	72.83654	80.41346	 
134	63.8024	63.608646	 	 	 	 	 	 	 	73.66495	79.75773	 
135	63.807407	63.569565	 	 	 	 	 	 	 	74.08064	79.94086	 
136	63.94333	63.460155	 	 	 	 	 	 	 	74.04205	80.649536	 
137	63.811813	63.58741	 	 	 	 	 	 	 	74.028305	80.19811	 
138	63.83041	63.62381	 	 	 	 	 	 	 	74.37037	79.546295	 
139	63.75816	63.620136	 	 	 	 	 	 	 	75.393616	79.776596	 
140	63.773434	63.57546	 	 	 	 	 	 	 	76.02475	80.569305	 
141	63.760242	63.600155	 	 	 	 	 	 	 	76.01	80.48	 
142	63.748547	63.580803	 	 	 	 	 	 	 	75.81313	80.64141	 
143	63.773777	63.59905	 	 	 	 	 	 	 	75.08654	81.30769	 
144	63.802795	63.59549	 	 	 	 	 	 	 	74.48165	81.03211	 
145	63.792343	63.584087	 	 	 	 	 	 	 	74.84286	81.34762	 
146	63.752544	63.601418	 	 	 	 	 	 	 	75.5099	81.68812	 
147	63.714485	63.614494	 	 	 	 	 	 	 	76.59901	81.68812	 
148	63.70481	63.586536	 	 	 	 	 	 	 	77.40323	82.20968	 
149	63.728256	63.56789	 	 	 	 	 	 	 	77.955444	82.5594	 
150	63.71268	63.580357	 	 	 	 	 	 	 	77.89796	81.79592	 
151	63.677643	63.612286	 	 	 	 	 	 	 	77.67347	80.4898	 
152	63.718178	63.627296	 	 	 	 	 	 	 	77.21	80.28	 
153	63.766582	63.659565	 	 	 	 	 	 	 	76.28704	80.46296	 
154	63.740067	63.659462	 	 	 	 	 	 	 	76.61881	80.5198	 
155	63.709297	63.661434	 	 	 	 	 	 	 	77.74742	80.66495	 
156	63.72462	63.65696	 	 	 	 	 	 	 	77.74039	80.68269	 
157	63.70555	63.653526	 	 	 	 	 	 	 	77.68868	80.35849	 
158	63.762386	63.665916	 	 	 	 	 	 	 	77.42233	80.0534	 
159	63.746365	63.660336	 	 	 	 	 	 	 	76.48058	80.218445	 
160	63.74247	63.65778	 	 	 	 	 	 	 	76.5099	80.707924	 
161	63.763683	63.63412	 	 	 	 	 	 	 	77.30909	81.181816	 
162	63.713688	63.64387	 	 	 	 	 	 	 	77.67308	81.49039	 
163	63.68372	63.58952	 	 	 	 	 	 	 	78.3	82.25	 
164	63.69189	63.610416	 	 	 	 	 	 	 	78.42079	82.09406	 
165	63.689114	63.637173	 	 	 	 	 	 	 	78.7	81.49	 
166	63.66697	63.646137	 	 	 	 	 	 	 	79.18367	80.79592	 
167	63.694942	63.633167	 	 	 	 	 	 	 	78.35107	80.40426	 
168	63.709793	63.65883	 	 	 	 	 	 	 	77.27143	80.28095	 
169	63.6995	63.674595	 	 	 	 	 	 	 	77.73	79.54	 
170	63.709263	63.666824	 	 	 	 	 	 	 	78.02336	78.845795	 
171	63.71377	63.650528	 	 	 	 	 	 	 	77.459595	79.02525	 
172	63.731598	63.589188	 	 	 	 	 	 	 	77.010414	79.875	 
173	63.692574	63.577568	 	 	 	 	 	 	 	77.315216	81.358696	 
174	63.73145	63.56746	 	 	 	 	 	 	 	78.07658	82.01351	 
175	63.66651	63.58704	 	 	 	 	 	 	 	78.61881	81.430695	 
176	63.656563	63.61125	 	 	 	 	 	 	 	79.97369	80.80526	 
177	63.656494	63.609264	 	 	 	 	 	 	 	80.818184	80.8	 
178	63.626713	63.601933	 	 	 	 	 	 	 	81.427086	80.6875	 
179	63.617702	63.57997	 	 	 	 	 	 	 	82.38991	80.73853	 
180	63.63945	63.553852	 	 	 	 	 	 	 	82.32524	81.15048	 
181	63.665253	63.503643	 	 	 	 	 	 	 	81.22727	81.60101	 
182	63.90489	63.25381	 	 	 	 	 	 	 	79.64433	81.953606	 
183	63.698658	63.48092	 	 	 	 	 	 	 	79.123764	82.5198	 
184	66.81394	60.3464	 	 	 	 	 	 	 	79.906975	82.75581	 
185	66.54983	60.639027	 	 	 	 	 	 	 	79.79214	82.69101	 
186	66.60857	60.80287	 	 	 	 	 	 	 	79.565216	82.95652	 
187	66.71498	60.45539	 	 	 	 	 	 	 	80.0	83.097824	 
188	66.300514	60.71561	 	 	 	 	 	 	 	81.01219	82.42683	 
189	66.63933	60.788937	 	 	 	 	 	 	 	80.87805	81.64634	 
190	66.65225	60.37354	 	 	 	 	 	 	 	80.61957	81.054344	 
191	66.65702	60.810432	 	 	 	 	 	 	 	81.03409	81.10227	 
192	66.51549	60.692947	 	 	 	 	 	 	 	82.309525	80.92857	 
193	65.91116	61.334633	 	 	 	 	 	 	 	82.054214	80.75301	 
194	66.863945	61.033173	 	 	 	 	 	 	 	81.27012	80.63793	 
195	66.44223	60.977036	 	 	 	 	 	 	 	80.77711	79.95783	 
196	66.11353	61.082733	 	 	 	 	 	 	 	80.92308	79.0	 
197	66.67648	60.71757	 	 	 	 	 	 	 	81.3	77.922226	 
198	66.69056	60.64824	 	 	 	 	 	 	 	81.241936	78.1129	 
199	63.794743	63.62623	 	 	 	 	 	 	 	 	 	 
200	66.093575	61.233074	 	 	 	 	 	 	 	 	 	 
