Frame	X1	Y1	Flag1	X2	Y2	Flag2	X3	Y3	Flag3
Tracks 1 to 3
104	61.478508	64.25667	 	 	 	 	 	 	 
105	61.488438	64.26416	 	 	 	 	 	 	 
106	61.56886	64.31051	 	 	 	 	 	 	 
107	61.558327	64.30698	 	 	 	 	 	 	 
108	61.517162	64.29252	 	 	 	 	 	 	 
109	61.471397	64.25699	 	 	 	 	 	 	 
110	61.46874	64.264694	 	 	 	 	 	 	 
111	61.485733	64.24319	 	 	 	 	 	 	 
112	61.46083	64.28092	 	 	 	 	 	 	 
113	61.462727	64.27804	 	 	 	 	 	 	 
114	61.469994	64.2897	 	 	 	 	 	 	 
115	61.406605	64.225586	 	 	 	 	 	 	 
116	61.465664	64.206825	 	 	 	 	 	 	 
117	61.526234	64.27776	 	 	 	 	 	 	 
118	61.50097	64.26494	 	 	 	 	 	 	 
119	61.456955	64.2611	 	 	 	 	 	 	 
120	61.50425	64.293816	 	 	 	 	 	 	 
121	61.47328	64.239784	 	 	 	 	 	 	 
122	61.31136	64.24971	 	 	 	 	 	 	 
123	61.504765	64.30686	 	 	 	 	 	 	 
124	61.454227	64.27113	 	 	 	 	 	 	 
125	61.483578	64.334564	 	 	 	 	 	 	 
126	61.45949	64.32308	 	 	 	 	 	 	 
127	61.49182	64.31623	 	 	 	 	 	 	 
128	61.49059	64.26062	 	 	 	 	 	 	 
129	61.480663	64.25271	 	 	 	 	 	 	 
130	61.437347	64.24713	 	 	 	 	 	 	 
131	61.389103	64.286865	 	 	 	 	 	 	 
132	61.443172	64.233795	 	 	 	 	 	 	 
133	61.4833	64.26492	 	 	 	 	 	 	 
134	61.444283	64.2485	 	 	 	 	 	 	 
135	61.488453	64.27402	 	 	 	 	 	 	 
136	61.46095	64.27751	 	 	 	 	 	 	 
137	61.4809	64.21218	 	 	 	 	 	 	 
138	61.493164	64.25035	 	 	 	 	 	 	 
139	61.472366	64.23711	 	 	 	 	 	 	 
140	61.467083	64.19476	 	 	 	 	 	 	 
141	61.485634	64.25155	 	 	 	 	 	 	 
142	61.556637	64.29785	 	 	 	 	 	 	 
143	61.505344	64.28655	 	 	 	 	 	 	 
144	61.498	64.23081	 	 	 	 	 	 	 
145	61.467457	64.24935	 	 	 	 	 	 	 
146	61.51244	64.274284	 	 	 	 	 	 	 
147	61.464188	64.283325	 	 	 	 	 	 	 
148	61.534996	64.25193	 	 	 	 	 	 	 
149	61.449432	64.234886	 	 	 	 	 	 	 
150	61.49477	64.23794	 	 	 	 	 	 	 
151	61.453506	64.2377	 	 	 	 	 	 	 
152	61.372467	64.20121	 	 	 	 	 	 	 
153	61.41107	64.20457	 	 	 	 	 	 	 
154	61.34843	64.15358	 	 	 	 	 	 	 
155	61.47282	64.22079	 	 	 	 	 	 	 
156	61.47269	64.21154	 	 	 	 	 	 	 
