Frame	X1	Y1	Flag1	X2	Y2	Flag2	X3	Y3	Flag3	X4	Y4	Flag4	X5	Y5	Flag5	X6	Y6	Flag6	X7	Y7	Flag7	X8	Y8	Flag8
Tracks 1 to 8
51	63.544464	63.854847	 	 	 	 	85.573685	67.15263	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
52	63.54154	63.90304	 	 	 	 	85.113335	66.433334	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
53	63.55208	63.940063	 	 	 	 	83.97619	65.07143	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
54	63.564148	63.860023	 	 	 	 	83.634834	64.79214	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
55	63.53209	63.896618	 	 	 	 	84.63253	65.27109	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
56	63.53612	63.885464	 	 	 	 	85.083336	65.552086	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
57	63.54781	63.90794	 	 	 	 	84.53488	65.209305	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
58	63.570362	63.913013	 	 	 	 	83.443184	64.829544	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
59	63.597275	63.915104	 	 	 	 	83.09804	64.59804	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
60	63.58879	63.886513	 	 	 	 	82.58696	64.945656	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
61	63.6162	63.91745	 	 	 	 	82.302086	64.697914	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
62	63.635918	63.940758	 	 	 	 	82.54124	64.78866	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
63	63.623188	63.955338	 	 	 	 	82.31443	64.396904	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
64	63.616962	63.983288	 	 	 	 	82.28022	63.62088	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
65	63.629604	63.969948	 	 	 	 	82.072914	63.489582	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
66	63.587112	63.97657	 	 	 	 	82.70731	63.158535	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
67	63.590294	64.001274	 	 	 	 	83.093025	62.279068	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
68	63.626385	64.01748	 	 	 	 	82.38298	61.734043	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
69	63.621574	64.04005	 	 	 	 	81.51282	61.320515	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
70	63.662895	64.040054	 	 	 	 	80.93678	61.33908	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
